样本编号,模态类型,原始有效时长,文本特征维度,音频特征维度,视频特征维度,对齐粒度,原始有效步数,对齐后有效步数
-lzEya4AM_4$_$5,文本/音频/视频,7.666667,768,768,871,0.479167,21/300/39,17
-lzEya4AM_4$_$6,文本/音频/视频,14.766666,768,768,871,0.492222,46/300/74,31
-mJ2ud6oKI8$_$1,文本/音频/视频,6.072733,768,768,871,0.467133,13/300/31,14
-mJ2ud6oKI8$_$2,文本/音频/视频,5.7057,768,768,871,0.475475,11/284/29,13
-mJ2ud6oKI8$_$6,文本/音频/视频,2.235567,768,768,871,0.447113,5/111/12,6
-mJ2ud6oKI8$_$8,文本/音频/视频,4.170833,768,768,871,0.463426,11/208/21,10
-mJ2ud6oKI8$_$9,文本/音频/视频,7.007,768,768,871,0.467133,23/300/36,16
-mqbVkbCndg$_$0,文本/音频/视频,6.5,768,768,871,0.5,17/300/33,14
-qDkUB0GgYY$_$6,文本/音频/视频,4.666667,768,768,871,0.466667,18/230/24,11
-ri04Z7vwnc$_$0,文本/音频/视频,2.794467,768,768,871,0.465744,8/137/14,7
-ri04Z7vwnc$_$2,文本/音频/视频,6.006,768,768,871,0.462,20/295/31,14
-ri04Z7vwnc$_$5,文本/音频/视频,3.503511,768,768,871,0.437939,9/171/18,9
-s9qJ7ATP7w$_$0,文本/音频/视频,6.866667,768,768,871,0.490476,28/300/35,15
-s9qJ7ATP7w$_$1,文本/音频/视频,4.766667,768,768,871,0.476667,12/231/24,11
-s9qJ7ATP7w$_$4,文本/音频/视频,4.4,768,768,871,0.488889,10/212/22,10
-s9qJ7ATP7w$_$5,文本/音频/视频,8.533334,768,768,871,0.474074,20/300/43,19
-s9qJ7ATP7w$_$6,文本/音频/视频,2.466667,768,768,871,0.493333,5/115/13,6
-s9qJ7ATP7w$_$7,文本/音频/视频,6.933333,768,768,871,0.495238,34/300/35,15
-s9qJ7ATP7w$_$8,文本/音频/视频,3.266667,768,768,871,0.466667,17/158/17,8
-t217m2on-s$_$2,文本/音频/视频,5.666667,768,768,871,0.472222,14/281/29,13
-t217m2on-s$_$7,文本/音频/视频,17.166666,768,768,871,0.490476,48/300/86,36
-tANM6ETl_M$_$3,文本/音频/视频,6.733333,768,768,871,0.480952,25/300/34,15
-tPCytz4rww$_$10,文本/音频/视频,4.766667,768,768,871,0.476667,13/233/24,11
-tPCytz4rww$_$11,文本/音频/视频,5.466667,768,768,871,0.49697,19/268/28,12
-tPCytz4rww$_$12,文本/音频/视频,11.833333,768,768,871,0.493056,28/300/60,25
-tPCytz4rww$_$16,文本/音频/视频,7.2,768,768,871,0.48,17/300/36,16
-tPCytz4rww$_$18,文本/音频/视频,6.633333,768,768,871,0.47381,17/300/34,15
-uywlfIYOS8$_$4,文本/音频/视频,6.033333,768,768,871,0.464103,20/293/31,14
-vxjVxOeScU$_$4,文本/音频/视频,9.1,768,768,871,0.478947,23/300/46,20
-wMB_hJL-3o$_$7,文本/音频/视频,6.033333,768,768,871,0.464103,23/298/31,14
-wny0OAz3g8$_$0,文本/音频/视频,3.333333,768,768,871,0.47619,9/163/17,8
-wny0OAz3g8$_$1,文本/音频/视频,6.833333,768,768,871,0.488095,24/300/35,15
-wny0OAz3g8$_$2,文本/音频/视频,6.666667,768,768,871,0.47619,26/300/34,15
-wny0OAz3g8$_$3,文本/音频/视频,6.133333,768,768,871,0.471795,20/300/31,14
-wny0OAz3g8$_$5,文本/音频/视频,6.9,768,768,871,0.492857,21/300/35,15
-wny0OAz3g8$_$7,文本/音频/视频,8.066667,768,768,871,0.47451,29/300/41,18
-wny0OAz3g8$_$9,文本/音频/视频,6.2,768,768,871,0.476923,22/300/31,14
-yRb-Jum7EQ$_$1,文本/音频/视频,29.266666,768,768,871,0.597279,55/300/147,50
-yRb-Jum7EQ$_$5,文本/音频/视频,13.166667,768,768,871,0.487654,29/300/66,28
-yRb-Jum7EQ$_$6,文本/音频/视频,11.225,768,768,871,0.488043,22/300/56,24
