2026-09-23 14:07:37,220 | INFO | MainThread | 模型求解开始: 样本=1, alignment_workers=2, overwrite=True
2026-09-23 14:10:36,419 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 7/8: objective=1.189073, delta=0.000379
2026-09-23 14:10:36,443 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 3/8: objective=1.062043, delta=0.001455
2026-09-23 14:10:36,499 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 8/8: objective=1.189081, delta=0.000216
2026-09-23 14:10:36,513 | INFO | MainThread | [2/3] -3g5yACwYnA$_$2 completed: objective=1.189081, uncertainty=0.2373 (0.94s)
2026-09-23 14:10:36,539 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 4/8: objective=1.061967, delta=0.000681
2026-09-23 14:10:36,606 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 5/8: objective=1.061941, delta=0.000353
2026-09-23 14:10:36,676 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 6/8: objective=1.061931, delta=0.000181
2026-09-23 14:10:36,744 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 7/8: objective=1.061927, delta=0.000091
2026-09-23 14:10:36,758 | INFO | MainThread | [3/3] -3g5yACwYnA$_$3 completed: objective=1.061927, uncertainty=0.2351 (0.79s)
2026-09-23 14:10:36,892 | INFO | MainThread | 对齐完成: 样本=3, mean_uncertainty=0.261935
2026-09-23 14:11:48,245 | INFO | MainThread | 模型求解开始: 样本=3, alignment_workers=2, overwrite=True
2026-09-23 14:11:48,448 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 1/8: objective=1.214801, delta=0.130118
2026-09-23 14:11:48,491 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 1/8: objective=1.374632, delta=0.115445
2026-09-23 14:11:48,512 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 2/8: objective=1.173682, delta=0.001794
2026-09-23 14:11:48,564 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 3/8: objective=1.173770, delta=0.000072
2026-09-23 14:11:48,577 | INFO | MainThread | [1/3] -3g5yACwYnA$_$13 completed: objective=1.173770, uncertainty=0.3115 (0.33s)
2026-09-23 14:11:48,596 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 2/8: objective=1.353845, delta=0.002038
2026-09-23 14:11:48,750 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 3/8: objective=1.353778, delta=0.000081
2026-09-23 14:11:48,764 | INFO | MainThread | [2/3] -3g5yACwYnA$_$2 completed: objective=1.353778, uncertainty=0.2413 (0.52s)
2026-09-23 14:11:48,785 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 1/8: objective=1.189637, delta=0.087351
2026-09-23 14:11:48,852 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 2/8: objective=1.161562, delta=0.001901
2026-09-23 14:11:48,926 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 3/8: objective=1.161432, delta=0.000119
2026-09-23 14:11:48,996 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 4/8: objective=1.161426, delta=0.000010
2026-09-23 14:11:49,008 | INFO | MainThread | [3/3] -3g5yACwYnA$_$3 completed: objective=1.161426, uncertainty=0.2460 (0.43s)
2026-09-23 14:11:49,125 | INFO | MainThread | 对齐完成: 样本=3, mean_uncertainty=0.266263
2026-09-23 14:15:34,754 | INFO | MainThread | 模型求解开始: 样本=100, alignment_workers=2, overwrite=True
2026-09-23 14:15:34,933 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 1/8: objective=1.232627, delta=0.130103
2026-09-23 14:15:34,972 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 1/8: objective=1.414424, delta=0.115499
2026-09-23 14:15:34,994 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 2/8: objective=1.192400, delta=0.001797
2026-09-23 14:15:35,041 | INFO | p1-align_0 | -3g5yACwYnA$_$13 对齐迭代 3/8: objective=1.192497, delta=0.000072
2026-09-23 14:15:35,061 | INFO | MainThread | [1/100] -3g5yACwYnA$_$13 completed: objective=1.192497, uncertainty=0.3138 (0.31s)
2026-09-23 14:15:35,064 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 2/8: objective=1.390832, delta=0.002037
2026-09-23 14:15:35,240 | INFO | p1-align_1 | -3g5yACwYnA$_$2 对齐迭代 3/8: objective=1.390674, delta=0.000080
2026-09-23 14:15:35,253 | INFO | MainThread | [2/100] -3g5yACwYnA$_$2 completed: objective=1.390674, uncertainty=0.2460 (0.50s)
2026-09-23 14:15:35,360 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 1/8: objective=1.208381, delta=0.087355
2026-09-23 14:15:35,416 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 1/8: objective=1.405417, delta=0.154247
2026-09-23 14:15:35,469 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 2/8: objective=1.178372, delta=0.001892
2026-09-23 14:15:35,503 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 2/8: objective=1.337878, delta=0.005507
2026-09-23 14:15:35,578 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 3/8: objective=1.178159, delta=0.000119
2026-09-23 14:15:35,587 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 3/8: objective=1.337759, delta=0.000256
2026-09-23 14:15:35,679 | INFO | p1-align_1 | -3g5yACwYnA$_$9 对齐迭代 4/8: objective=1.337758, delta=0.000015
2026-09-23 14:15:35,693 | INFO | MainThread | [3/100] -3g5yACwYnA$_$9 completed: objective=1.337758, uncertainty=0.3032 (0.44s)
2026-09-23 14:15:35,697 | INFO | p1-align_0 | -3g5yACwYnA$_$3 对齐迭代 4/8: objective=1.178149, delta=0.000010
2026-09-23 14:15:35,714 | INFO | MainThread | [4/100] -3g5yACwYnA$_$3 completed: objective=1.178149, uncertainty=0.2485 (0.65s)
2026-09-23 14:15:35,845 | INFO | p1-align_0 | -571d8cVauQ$_$0 对齐迭代 1/8: objective=1.480784, delta=0.131184
2026-09-23 14:15:35,877 | INFO | p1-align_1 | -3nNcZdcdvU$_$5 对齐迭代 1/8: objective=1.615709, delta=0.145673
2026-09-23 14:15:35,901 | INFO | p1-align_0 | -571d8cVauQ$_$0 对齐迭代 2/8: objective=1.436067, delta=0.002681
2026-09-23 14:15:35,944 | INFO | p1-align_0 | -571d8cVauQ$_$0 对齐迭代 3/8: objective=1.435894, delta=0.000080
2026-09-23 14:15:35,958 | INFO | MainThread | [5/100] -571d8cVauQ$_$0 completed: objective=1.435894, uncertainty=0.2998 (0.24s)
2026-09-23 14:15:35,968 | INFO | p1-align_1 | -3nNcZdcdvU$_$5 对齐迭代 2/8: objective=1.551981, delta=0.005088
2026-09-23 14:15:36,132 | INFO | p1-align_1 | -3nNcZdcdvU$_$5 对齐迭代 3/8: objective=1.552454, delta=0.000068
2026-09-23 14:15:36,146 | INFO | MainThread | [6/100] -3nNcZdcdvU$_$5 completed: objective=1.552454, uncertainty=0.2877 (0.45s)
2026-09-23 14:15:36,272 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 1/8: objective=1.211543, delta=0.115432
2026-09-23 14:15:36,335 | INFO | p1-align_1 | -6rXp3zJ3kc$_$8 对齐迭代 1/8: objective=1.442140, delta=0.104569
2026-09-23 14:15:36,381 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 2/8: objective=1.164561, delta=0.003592
2026-09-23 14:15:36,425 | INFO | p1-align_1 | -6rXp3zJ3kc$_$8 对齐迭代 2/8: objective=1.398816, delta=0.001619
2026-09-23 14:15:36,483 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 3/8: objective=1.164360, delta=0.000308
2026-09-23 14:15:36,514 | INFO | p1-align_1 | -6rXp3zJ3kc$_$8 对齐迭代 3/8: objective=1.398785, delta=0.000043
2026-09-23 14:15:36,528 | INFO | MainThread | [7/100] -6rXp3zJ3kc$_$8 completed: objective=1.398785, uncertainty=0.2766 (0.38s)
2026-09-23 14:15:36,642 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 1/8: objective=1.815231, delta=0.129781
2026-09-23 14:15:36,655 | INFO | p1-align_0 | -571d8cVauQ$_$5 对齐迭代 4/8: objective=1.164346, delta=0.000032
2026-09-23 14:15:36,671 | INFO | MainThread | [8/100] -571d8cVauQ$_$5 completed: objective=1.164346, uncertainty=0.2603 (0.71s)
2026-09-23 14:15:36,743 | INFO | p1-align_0 | -9y-fZ3swSY$_$4 对齐迭代 1/8: objective=1.294929, delta=0.122667
2026-09-23 14:15:36,753 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 2/8: objective=1.744265, delta=0.002648
2026-09-23 14:15:36,792 | INFO | p1-align_0 | -9y-fZ3swSY$_$4 对齐迭代 2/8: objective=1.260114, delta=0.000729
2026-09-23 14:15:36,838 | INFO | p1-align_0 | -9y-fZ3swSY$_$4 对齐迭代 3/8: objective=1.260257, delta=0.000008
2026-09-23 14:15:36,839 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 3/8: objective=1.744174, delta=0.000211
2026-09-23 14:15:36,856 | INFO | MainThread | [9/100] -9y-fZ3swSY$_$4 completed: objective=1.260257, uncertainty=0.3862 (0.18s)
2026-09-23 14:15:36,938 | INFO | p1-align_1 | -9y-fZ3swSY$_$0 对齐迭代 4/8: objective=1.744172, delta=0.000019
2026-09-23 14:15:36,951 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 1/8: objective=1.397329, delta=0.115338
2026-09-23 14:15:36,966 | INFO | MainThread | [10/100] -9y-fZ3swSY$_$0 completed: objective=1.744172, uncertainty=0.3522 (0.44s)
2026-09-23 14:15:37,146 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 2/8: objective=1.345315, delta=0.003123
2026-09-23 14:15:37,202 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 3/8: objective=1.345199, delta=0.000119
2026-09-23 14:15:37,252 | INFO | p1-align_0 | -9y-fZ3swSY$_$8 对齐迭代 4/8: objective=1.345196, delta=0.000005
2026-09-23 14:15:37,262 | INFO | MainThread | [11/100] -9y-fZ3swSY$_$8 completed: objective=1.345196, uncertainty=0.3335 (0.41s)
2026-09-23 14:15:37,377 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 1/8: objective=1.790419, delta=0.118977
2026-09-23 14:15:37,400 | INFO | p1-align_0 | -HeZS2-Prhc$_$2 对齐迭代 1/8: objective=1.387472, delta=0.119541
2026-09-23 14:15:37,464 | INFO | p1-align_0 | -HeZS2-Prhc$_$2 对齐迭代 2/8: objective=1.338900, delta=0.001042
2026-09-23 14:15:37,534 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 2/8: objective=1.746167, delta=0.002935
2026-09-23 14:15:37,541 | INFO | p1-align_0 | -HeZS2-Prhc$_$2 对齐迭代 3/8: objective=1.338898, delta=0.000028
2026-09-23 14:15:37,554 | INFO | MainThread | [12/100] -HeZS2-Prhc$_$2 completed: objective=1.338898, uncertainty=0.2786 (0.29s)
2026-09-23 14:15:37,635 | INFO | p1-align_0 | -HwX2H8Z4hY$_$2 对齐迭代 1/8: objective=1.156684, delta=0.139296
2026-09-23 14:15:37,680 | INFO | p1-align_0 | -HwX2H8Z4hY$_$2 对齐迭代 2/8: objective=1.081349, delta=0.001204
2026-09-23 14:15:37,725 | INFO | p1-align_0 | -HwX2H8Z4hY$_$2 对齐迭代 3/8: objective=1.081235, delta=0.000030
2026-09-23 14:15:37,737 | INFO | MainThread | [13/100] -HwX2H8Z4hY$_$2 completed: objective=1.081235, uncertainty=0.3558 (0.18s)
2026-09-23 14:15:37,740 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 3/8: objective=1.746278, delta=0.000170
2026-09-23 14:15:37,837 | INFO | p1-align_0 | -HwX2H8Z4hY$_$5 对齐迭代 1/8: objective=1.877548, delta=0.148174
2026-09-23 14:15:37,888 | INFO | p1-align_0 | -HwX2H8Z4hY$_$5 对齐迭代 2/8: objective=1.792722, delta=0.001821
2026-09-23 14:15:37,941 | INFO | p1-align_0 | -HwX2H8Z4hY$_$5 对齐迭代 3/8: objective=1.792430, delta=0.000045
2026-09-23 14:15:37,952 | INFO | MainThread | [14/100] -HwX2H8Z4hY$_$5 completed: objective=1.792430, uncertainty=0.3149 (0.21s)
2026-09-23 14:15:37,959 | INFO | p1-align_1 | -AUZQgSxyPQ$_$2 对齐迭代 4/8: objective=1.746282, delta=0.000012
2026-09-23 14:15:38,002 | INFO | MainThread | [15/100] -AUZQgSxyPQ$_$2 completed: objective=1.746282, uncertainty=0.2435 (1.04s)
2026-09-23 14:15:38,092 | INFO | p1-align_0 | -HwX2H8Z4hY$_$6 对齐迭代 1/8: objective=1.316333, delta=0.111540
2026-09-23 14:15:38,137 | INFO | p1-align_0 | -HwX2H8Z4hY$_$6 对齐迭代 2/8: objective=1.277474, delta=0.002632
2026-09-23 14:15:38,161 | INFO | p1-align_1 | -HwX2H8Z4hY$_$9 对齐迭代 1/8: objective=1.586135, delta=0.122107
2026-09-23 14:15:38,191 | INFO | p1-align_0 | -HwX2H8Z4hY$_$6 对齐迭代 3/8: objective=1.277519, delta=0.000121
2026-09-23 14:15:38,238 | INFO | p1-align_0 | -HwX2H8Z4hY$_$6 对齐迭代 4/8: objective=1.277519, delta=0.000006
2026-09-23 14:15:38,255 | INFO | MainThread | [16/100] -HwX2H8Z4hY$_$6 completed: objective=1.277519, uncertainty=0.3203 (0.30s)
2026-09-23 14:15:38,255 | INFO | p1-align_1 | -HwX2H8Z4hY$_$9 对齐迭代 2/8: objective=1.547500, delta=0.001940
2026-09-23 14:15:38,385 | INFO | p1-align_1 | -HwX2H8Z4hY$_$9 对齐迭代 3/8: objective=1.547630, delta=0.000080
2026-09-23 14:15:38,394 | INFO | p1-align_0 | -I_e4mIh0yE$_$1 对齐迭代 1/8: objective=1.408340, delta=0.118457
2026-09-23 14:15:38,410 | INFO | MainThread | [17/100] -HwX2H8Z4hY$_$9 completed: objective=1.547630, uncertainty=0.3141 (0.41s)
2026-09-23 14:15:38,529 | INFO | p1-align_0 | -I_e4mIh0yE$_$1 对齐迭代 2/8: objective=1.360979, delta=0.001426
2026-09-23 14:15:38,559 | INFO | p1-align_1 | -I_e4mIh0yE$_$3 对齐迭代 1/8: objective=1.419268, delta=0.115342
2026-09-23 14:15:38,610 | INFO | p1-align_0 | -I_e4mIh0yE$_$1 对齐迭代 3/8: objective=1.360803, delta=0.000076
2026-09-23 14:15:38,623 | INFO | MainThread | [18/100] -I_e4mIh0yE$_$1 completed: objective=1.360803, uncertainty=0.2983 (0.37s)
2026-09-23 14:15:38,687 | INFO | p1-align_1 | -I_e4mIh0yE$_$3 对齐迭代 2/8: objective=1.378646, delta=0.003031
2026-09-23 14:15:38,782 | INFO | p1-align_1 | -I_e4mIh0yE$_$3 对齐迭代 3/8: objective=1.378882, delta=0.000097
2026-09-23 14:15:38,786 | INFO | p1-align_0 | -MeTTeMJBNc$_$0 对齐迭代 1/8: objective=1.717981, delta=0.145237
2026-09-23 14:15:38,803 | INFO | MainThread | [19/100] -I_e4mIh0yE$_$3 completed: objective=1.378882, uncertainty=0.2950 (0.39s)
2026-09-23 14:15:38,899 | INFO | p1-align_1 | -MeTTeMJBNc$_$13 对齐迭代 1/8: objective=1.687120, delta=0.172652
2026-09-23 14:15:38,922 | INFO | p1-align_0 | -MeTTeMJBNc$_$0 对齐迭代 2/8: objective=1.639453, delta=0.006411
2026-09-23 14:15:38,965 | INFO | p1-align_1 | -MeTTeMJBNc$_$13 对齐迭代 2/8: objective=1.593263, delta=0.004520
2026-09-23 14:15:39,019 | INFO | p1-align_1 | -MeTTeMJBNc$_$13 对齐迭代 3/8: objective=1.593052, delta=0.000196
2026-09-23 14:15:39,030 | INFO | p1-align_0 | -MeTTeMJBNc$_$0 对齐迭代 3/8: objective=1.639715, delta=0.000396
2026-09-23 14:15:39,077 | INFO | p1-align_1 | -MeTTeMJBNc$_$13 对齐迭代 4/8: objective=1.593038, delta=0.000010
2026-09-23 14:15:39,089 | INFO | MainThread | [20/100] -MeTTeMJBNc$_$13 completed: objective=1.593038, uncertainty=0.3516 (0.29s)
2026-09-23 14:15:39,184 | INFO | p1-align_0 | -MeTTeMJBNc$_$0 对齐迭代 4/8: objective=1.639739, delta=0.000019
2026-09-23 14:15:39,197 | INFO | MainThread | [21/100] -MeTTeMJBNc$_$0 completed: objective=1.639739, uncertainty=0.2949 (0.57s)
2026-09-23 14:15:39,297 | INFO | p1-align_0 | -NFrJFQijFE$_$1 对齐迭代 1/8: objective=1.255498, delta=0.079364
2026-09-23 14:15:39,325 | INFO | p1-align_1 | -MeTTeMJBNc$_$7 对齐迭代 1/8: objective=2.033871, delta=0.124027
2026-09-23 14:15:39,361 | INFO | p1-align_0 | -NFrJFQijFE$_$1 对齐迭代 2/8: objective=1.239375, delta=0.000833
2026-09-23 14:15:39,414 | INFO | p1-align_0 | -NFrJFQijFE$_$1 对齐迭代 3/8: objective=1.239236, delta=0.000069
2026-09-23 14:15:39,426 | INFO | MainThread | [22/100] -NFrJFQijFE$_$1 completed: objective=1.239236, uncertainty=0.3286 (0.23s)
2026-09-23 14:15:39,500 | INFO | p1-align_1 | -MeTTeMJBNc$_$7 对齐迭代 2/8: objective=2.001244, delta=0.005859
2026-09-23 14:15:39,568 | INFO | p1-align_0 | -NFrJFQijFE$_$2 对齐迭代 1/8: objective=1.724413, delta=0.115875
2026-09-23 14:15:39,633 | INFO | p1-align_1 | -MeTTeMJBNc$_$7 对齐迭代 3/8: objective=2.000839, delta=0.000133
2026-09-23 14:15:39,681 | INFO | p1-align_0 | -NFrJFQijFE$_$2 对齐迭代 2/8: objective=1.648222, delta=0.004813
2026-09-23 14:15:39,755 | INFO | p1-align_0 | -NFrJFQijFE$_$2 对齐迭代 3/8: objective=1.648039, delta=0.000305
2026-09-23 14:15:39,773 | INFO | p1-align_1 | -MeTTeMJBNc$_$7 对齐迭代 4/8: objective=2.000836, delta=0.000011
2026-09-23 14:15:39,786 | INFO | MainThread | [23/100] -MeTTeMJBNc$_$7 completed: objective=2.000836, uncertainty=0.3037 (0.70s)
2026-09-23 14:15:39,869 | INFO | p1-align_0 | -NFrJFQijFE$_$2 对齐迭代 4/8: objective=1.648035, delta=0.000034
2026-09-23 14:15:39,886 | INFO | p1-align_1 | -RfYyzHpjk4$_$11 对齐迭代 1/8: objective=1.423724, delta=0.125455
2026-09-23 14:15:39,895 | INFO | MainThread | [24/100] -NFrJFQijFE$_$2 completed: objective=1.648035, uncertainty=0.3348 (0.47s)
2026-09-23 14:15:39,982 | INFO | p1-align_1 | -RfYyzHpjk4$_$11 对齐迭代 2/8: objective=1.370312, delta=0.001893
2026-09-23 14:15:40,007 | INFO | p1-align_0 | -RfYyzHpjk4$_$2 对齐迭代 1/8: objective=1.186334, delta=0.138620
2026-09-23 14:15:40,052 | INFO | p1-align_1 | -RfYyzHpjk4$_$11 对齐迭代 3/8: objective=1.370166, delta=0.000040
2026-09-23 14:15:40,064 | INFO | MainThread | [25/100] -RfYyzHpjk4$_$11 completed: objective=1.370166, uncertainty=0.3156 (0.28s)
2026-09-23 14:15:40,072 | INFO | p1-align_0 | -RfYyzHpjk4$_$2 对齐迭代 2/8: objective=1.123103, delta=0.001959
2026-09-23 14:15:40,165 | INFO | p1-align_0 | -RfYyzHpjk4$_$2 对齐迭代 3/8: objective=1.122919, delta=0.000066
2026-09-23 14:15:40,174 | INFO | p1-align_1 | -RfYyzHpjk4$_$8 对齐迭代 1/8: objective=1.590681, delta=0.162239
2026-09-23 14:15:40,192 | INFO | MainThread | [26/100] -RfYyzHpjk4$_$2 completed: objective=1.122919, uncertainty=0.3655 (0.30s)
2026-09-23 14:15:40,319 | INFO | p1-align_1 | -RfYyzHpjk4$_$8 对齐迭代 2/8: objective=1.520381, delta=0.004423
2026-09-23 14:15:40,367 | INFO | p1-align_1 | -RfYyzHpjk4$_$8 对齐迭代 3/8: objective=1.520286, delta=0.000029
2026-09-23 14:15:40,377 | INFO | MainThread | [27/100] -RfYyzHpjk4$_$8 completed: objective=1.520286, uncertainty=0.3380 (0.31s)
2026-09-23 14:15:40,461 | INFO | p1-align_1 | -THoVjtIkeU$_$2 对齐迭代 1/8: objective=1.603420, delta=0.122421
2026-09-23 14:15:40,483 | INFO | p1-align_0 | -THoVjtIkeU$_$12 对齐迭代 1/8: objective=1.808708, delta=0.122160
2026-09-23 14:15:40,509 | INFO | p1-align_1 | -THoVjtIkeU$_$2 对齐迭代 2/8: objective=1.549135, delta=0.000479
2026-09-23 14:15:40,551 | INFO | p1-align_1 | -THoVjtIkeU$_$2 对齐迭代 3/8: objective=1.549097, delta=0.000005
2026-09-23 14:15:40,564 | INFO | MainThread | [28/100] -THoVjtIkeU$_$2 completed: objective=1.549097, uncertainty=0.3536 (0.19s)
2026-09-23 14:15:40,673 | INFO | p1-align_0 | -THoVjtIkeU$_$12 对齐迭代 2/8: objective=1.749966, delta=0.003436
2026-09-23 14:15:40,717 | INFO | p1-align_1 | -THoVjtIkeU$_$6 对齐迭代 1/8: objective=2.046712, delta=0.161703
2026-09-23 14:15:40,788 | INFO | p1-align_0 | -THoVjtIkeU$_$12 对齐迭代 3/8: objective=1.749955, delta=0.000230
2026-09-23 14:15:40,800 | INFO | p1-align_1 | -THoVjtIkeU$_$6 对齐迭代 2/8: objective=1.938259, delta=0.003777
2026-09-23 14:15:40,878 | INFO | p1-align_1 | -THoVjtIkeU$_$6 对齐迭代 3/8: objective=1.938184, delta=0.000096
2026-09-23 14:15:40,891 | INFO | MainThread | [29/100] -THoVjtIkeU$_$6 completed: objective=1.938184, uncertainty=0.3371 (0.33s)
2026-09-23 14:15:40,907 | INFO | p1-align_0 | -THoVjtIkeU$_$12 对齐迭代 4/8: objective=1.749962, delta=0.000016
2026-09-23 14:15:40,970 | INFO | MainThread | [30/100] -THoVjtIkeU$_$12 completed: objective=1.749962, uncertainty=0.2758 (0.78s)
2026-09-23 14:15:41,072 | INFO | p1-align_1 | -UUCSKoHeMA$_$0 对齐迭代 1/8: objective=1.691904, delta=0.120092
2026-09-23 14:15:41,103 | INFO | p1-align_0 | -UacrmKiTn4$_$10 对齐迭代 1/8: objective=1.930007, delta=0.140998
2026-09-23 14:15:41,147 | INFO | p1-align_1 | -UUCSKoHeMA$_$0 对齐迭代 2/8: objective=1.647691, delta=0.002984
