stage,epoch,lr,train_loss,train_classification,train_regression,train_correlation,train_coherence,train_uncertainty,train_expert_aux_classification,train_expert_aux_regression,train_router_prior,valid_accuracy,valid_macro_f1,valid_mae,valid_pearson,valid_selection_score,seconds,frozen_bottom_layers,train_token,train_cls,distillation_scale,text_path_frozen,train_supervised,train_distillation,train_kd_classification,train_kd_regression,train_kd_token,train_kd_cls,train_kd_feature,train_kd_relation,complete_accuracy,complete_macro_f1,complete_mae,complete_pearson,complete_selection_score,target30_accuracy,target30_macro_f1,target30_mae,target30_pearson,target30_selection_score,robust_selection_score
text_distill,2,2.713525491562421e-05,2.6924446989113178,0.969471319880284,0.5475472050233626,,,,,,,0.5810439560439561,0.5123171341020734,0.6800784130585841,0.5203845503060475,0.8626820811434747,10.198053100000834,2.0,1.0873506195108655,0.6876706145179103,,,,,,,,,,,,,,,,,,,,,
text_distill,3,2.3816778784387097e-05,2.5019574988056235,0.9300000046340513,0.5187561564462285,,,,,,,0.6085164835164835,0.5690662258770542,0.6556556933958616,0.5651460236712735,0.9702983261993624,10.381532500003232,1.0,1.0197237818173959,0.6224128083443977,,,,,,,,,,,,,,,,,,,,,
text_distill,4,1.963525491562421e-05,2.3663501361726036,0.8888375261719798,0.4924585997638568,,,,,,,0.625,0.5878481385201816,0.6425841263556792,0.5885955799011379,1.0157976868323997,10.81762400000298,0.0,0.978520456334235,0.5774564105020442,,,,,,,,,,,,,,,,,,,,,
text_distill,5,1.4999999999999999e-05,2.24686267762117,0.8565334623128595,0.4581969971178283,,,,,,,0.6236263736263736,0.577723692687994,0.6544838095887227,0.5930528944355776,1.007155634726391,11.435052999993786,0.0,0.9425142482972481,0.5427137346754611,,,,,,,,,,,,,,,,,,,,,
text_distill,6,1.0364745084375788e-05,2.147100308411558,0.8244392855066649,0.4337174948042547,,,,,,,0.6098901098901099,0.5870222034076437,0.6146399232042074,0.6136764212901777,1.0470386438967696,13.38705960000516,0.0,0.9167103746407469,0.5124047495109935,,,,,,,,,,,,,,,,,,,,,
text_distill,7,6.183221215612904e-06,2.097317227175538,0.8066754681123814,0.41776682971648765,,,,,,,0.6153846153846154,0.5818271294330734,0.6197521736497408,0.6188596222521163,1.0457487082727546,13.22972380000283,0.0,0.9029454236299219,0.4993324210526238,,,,,,,,,,,,,,,,,,,,,
text_distill,8,2.8647450843757895e-06,2.047967083017591,0.7842710135688244,0.40269581406888827,,,,,,,0.6291208791208791,0.5979450266313892,0.615168087073131,0.6224461057303609,1.0665991105934673,13.453033199999481,0.0,0.8925276679891936,0.4862770305972704,,,,,,,,,,,,,,,,,,,,,
text_distill,9,7.341522555726969e-07,2.0338004122317677,0.7868964122214788,0.40205172082068213,,,,,,,0.6098901098901099,0.582677192954595,0.6102669603091532,0.6237828314865678,1.0538932843638744,12.870681400003377,0.0,0.8858249615615522,0.480491987836193,,,,,,,,,,,,,,,,,,,,,
text_distill,10,0.0,2.025810243378223,0.7793162494478091,0.400272988727395,,,,,,,0.6153846153846154,0.5891114066458926,0.6107764837094122,0.62406290956422,1.0604801952827594,12.891139100000146,0.0,0.8827881082682543,0.4785687262323541,,,,,,,,,,,,,,,,,,,,,
student,1,4.980286753286196e-06,1.5760465306295475,0.7559543812358883,0.37483308852558406,0.2829378159113333,0.04690560340409128,0.23794013998542116,0.7887584315219396,0.3887565081388178,0.07204717355714717,,,,,,22.97142149999854,,,,0.2,1.0,1.4630680482991985,0.5648924265529068,0.06917416416502124,0.18771662733609407,0.8473925573725096,0.47273116590271536,0.19908402954608623,0.03668491601366812,0.6263736263736264,0.6043744982664293,0.6173536087402941,0.6319319537344007,1.0819680498157564,0.6304945054945055,0.6065744642569887,0.6160213852078643,0.6285370996021054,1.0811062175571278,1.0815980927243551
student,2,4.921457902821578e-06,1.6703896514126952,0.7513437176674185,0.37010778743826167,0.2716328438738702,0.04991897010624829,0.21366576397214349,0.7728947180677468,0.3833934696207584,0.06995006598217386,,,,,,22.855367700001807,,,,0.4,1.0,1.4456834637782943,0.561765474752641,0.07091824185680336,0.17609884878489332,0.8468319798859072,0.4717542596266303,0.2007019777952785,0.04339933585585423,0.625,0.6027318898234254,0.6058978237810412,0.6385591991041526,1.0898166329823178,0.6236263736263736,0.5997413403581566,0.607270116296694,0.6342769686499318,1.0822007799339148,1.08821777257075
student,3,4.824441214720629e-06,1.7709643303508489,0.74976239930576,0.36429868145308025,0.2702435846899597,0.049224708281772236,0.2007628711937389,0.7693350571142116,0.3809138804044522,0.05965024707707721,,,,,,24.551229300006526,,,,0.6,1.0,1.4355237786199007,0.5590675639014848,0.06973602141345471,0.17927750142317422,0.8472522719645165,0.47142605105756036,0.1832559192684335,0.03631757187958754,0.6222527472527473,0.5978336193524196,0.5975376059525713,0.6365993354321522,1.085048553296429,0.625,0.5989765081960067,0.6016784299051153,0.6325538152522224,1.0811107159719502,1.0844710505733803
student,4,4.690766700109659e-06,1.8640257476920812,0.7438040539412432,0.3595731329750007,0.263017068446522,0.050744284705167085,0.18949124402560058,0.7562920524620674,0.3745862211979611,0.06685234784660204,,,,,,25.202764299989212,,,,0.8,1.0,1.4191331489824912,0.5561157288685651,0.07040416272225934,0.17554759281411977,0.8471317526320337,0.47220079642786106,0.17188070913855458,0.033257771512939474,0.625,0.601364875447531,0.6022822214188156,0.6351898926348669,1.0859842127276942,0.625,0.6014653182176749,0.6022807507178296,0.6327995480251016,1.0836946785633192,1.0860711134005845
student,5,4.522542485937369e-06,1.9633303125139694,0.7420229874026607,0.3565337518361253,0.25481627188937767,0.049423871942284245,0.18195628011795942,0.7567724014671755,0.3728904384122768,0.07253346752217958,,,,,,24.156944199989084,,,,1.0,1.0,1.4123135381181475,0.5510167754451993,0.06869803195897962,0.17128718098704243,0.8474486029483903,0.4715342943517255,0.15908878684883387,0.02929181336018611,0.6263736263736264,0.6072038239096158,0.5941352866517103,0.6370915210939012,1.0957615233405895,0.6263736263736264,0.6072038239096158,0.5990278552705933,0.6341132309528958,1.0915600910448633,1.0939320893562252
student,6,4.322421568553529e-06,2.0617950558662415,0.7668184335802642,0.3730232289559405,0.2801378398713931,0.04544334213288737,0.205479260237271,0.7744574861627229,0.38840151001030293,0.06451667979044813,,,,,,21.937696599998162,,,,1.0,0.0,1.4657879580914135,0.5960070954661973,0.08983453389414599,0.19933794564764265,0.8903753425873501,0.4830396357976215,0.17735179912456325,0.033771497840192954,0.6263736263736264,0.601301528331451,0.6127999706039011,0.6366177746026109,1.0847193102830868,0.6222527472527473,0.5978935698447894,0.615761906710699,0.6337705432024883,1.077723636369603,1.0839355010388592
student,7,4.093559974371725e-06,2.0431495804182243,0.7601637951505016,0.3682475893850058,0.2732316658530437,0.04430424700110731,0.2009406064794412,0.7641178612977686,0.3851802312362362,0.055525299266610345,,,,,,21.48009209999873,,,,1.0,0.0,1.4491179325211216,0.5940316441193433,0.09028796138058245,0.19366706393554178,0.8901011641596405,0.4823009906940057,0.17625557704710623,0.03843051116441337,0.6153846153846154,0.6016673728855707,0.596734681914453,0.6384736889688419,1.0909573913757993,0.614010989010989,0.5999413819364704,0.6005351723994993,0.6357444842548677,1.0855520730914634,1.08994093410988
student,8,3.839566987447491e-06,2.0378001726848978,0.7621113019929805,0.36641376329139924,0.27132503415497256,0.0456563157331146,0.19495175530950368,0.7646097882952488,0.38387918272908306,0.050211182703644455,,,,,,21.422826399997575,,,,1.0,0.0,1.4483481691756719,0.58945200518823,0.08777181704489279,0.19186644460743582,0.8871800290866637,0.47888935766589474,0.17338936356171755,0.03798583139416198,0.6236263736263736,0.6054877625789405,0.598587432903734,0.6372111347851049,1.093052039138112,0.6208791208791209,0.6027704825522049,0.6021813273200878,0.6351478432564476,1.0873729939786307,1.0917510541763682
student,9,3.5644482289126816e-06,2.0286435627601516,0.7570902499514567,0.36160743656292765,0.26434018368452367,0.04629122204816257,0.18199657572394,0.7587095576692635,0.3786473172441335,0.04670270637307369,,,,,,21.162426399998367,,,,1.0,0.0,1.4341043057576033,0.5945392517556607,0.09065958025904608,0.197607404067063,0.8880891766346676,0.48085488169126106,0.17450670551666073,0.03879599206306985,0.6153846153846154,0.5932748723668969,0.6019251387026467,0.6359627911206892,1.0787563788119243,0.6167582417582418,0.5949244453970636,0.605120406504004,0.6340420723330142,1.0776864161040767,1.0792330056534034
student,10,3.2725424859373684e-06,2.0112205617864367,0.7502444892282217,0.3552208792575648,0.25981533443424065,0.045015400669104616,0.17054474371006634,0.7522078236223946,0.3735576300343997,0.04668854764649566,,,,,,21.440933699996094,,,,1.0,0.0,1.4168772399425507,0.5943433264611473,0.09126883232310204,0.19631358010458275,0.8880112355863544,0.48081470207429267,0.17464896364950797,0.03851641641116478,0.6195054945054945,0.5992141668855617,0.601903118237285,0.6369927388850299,1.0857311262112703,0.6153846153846154,0.5944262344382003,0.6066519847628404,0.634658423279954,1.0774216615274443,1.0840891899605016
